election_id,candidate_a,candidate_b,a_won_real,a_vote_share,b_vote_share,model_chose,model_chose_label,model_correct,status
262.0,G1998TN0262T0523,G1998TN0262N0524,False,0.3,0.7,a,G1998TN0262T0523,False,ok
263.0,G1997NJ0263T0525,G1997NJ0263N0526,False,0.49,0.51,b,G1997NJ0263N0526,True,ok
264.0,G1997VA0264T0527,G1997VA0264N0528,False,0.43,0.57,a,G1997VA0264T0527,False,ok
265.0,G1996DE0265T0529,G1996DE0265N0530,True,0.69,0.31,a,G1996DE0265T0529,True,ok
266.0,G1996IN0266N0532,G1996IN0266T0531,False,0.48,0.52,,,,"POSITION_BIAS: ['a', 'b'] | ['"
267.0,G1996NC0267N0534,G1996NC0267T0533,False,0.43,0.57,a,G1996NC0267N0534,False,ok
268.0,G1996ND0268T0535,G1996ND0268N0536,False,0.34,0.66,,,,"POSITION_BIAS: ['a', 'b'] | ['"
269.0,G1996UT0269T0537,G1996UT0269N0538,False,0.24,0.76,a,G1996UT0269T0537,False,ok
271.0,G1996WV0271T0541,G1996WV0271N0542,False,0.47,0.53,b,G1996WV0271N0542,True,ok
273.0,G1995MS0273N0546,G1995MS0273T0545,True,0.56,0.44,b,G1995MS0273T0545,False,ok
